Kanji,Kana,English,Romaji
昼間,ひるま,daytime,hiru ma  
いつ頃,いつごろ,about when,itsugoro  
字,じ,character,ji  
七,しち,seven,shichi  
お釣り,おつり,change (money),otsuri  
名字,みょうじ,last name,myouji  
おじ,おじ,uncle,oji  
おば,おば,aunt,oba  
祖父,そふ,grandfather,sofu  
祖母,そぼ,grandmother,sobo  
大事,だいじ,important,daiji  
見方,みかた,viewpoint,mikata  
鳥,とり,bird,tori  
犬,いぬ,dog,inu  
返事,へんじ,response,henji  
また,また,again,mata  
年間,ねんかん,per year,nenkan  
青,あお,blue,ao  
赤,あか,red,aka  
信号,しんごう,traffic light,shingou  
円,えん,yen,en  
非常に,ひじょうに,very, hijou ni  
複雑,ふくざつ,complicated,fukuzatsu  
平和,へいわ,peace,heiwa  
回る,まわる,to turn,mawaru  
若者,わかもの,youth,wakamono  
雪,ゆき,snow,yuki
うまい, うまい, delicious, umai
思い出す, おもいだす, to remember, omoi dasu
聞こえる, きこえる, to be heard, kikoeru
借りる, かりる, to borrow, kariru
返す, かえす, to return, kaesu
受け取る, うけとる, to receive, uketoru
捨てる, すてる, to throw away, suteru
一緒, いっしょ, together, issho
遊び, あそび, play, asobi
移す, うつす, to move, utsusu
大きさ, おおきさ, size, ookisa
考え, かんがえ, thought, kangae
空港, くうこう, airport, kuukou
出発, しゅっぱつ, departure, shuppatsu
地図, ちず, map, chizu
運転, うんてん, driving, unten
降りる, おりる, to get off, oriru
ガス, がす, gas, gasu
必ず, かならず, without fail, kanarazu
カメラ, かめら, camera, kamera
通う, かよう, to commute, kayou
急に, きゅうに, suddenly, kyuu ni
サラリーマン, さらりーまん, salaryman, sarariiman
給料, きゅうりょう, salary, kyuuryou
曲, きょく, song, kyoku
切れる, きれる, to be cut, kireru
正しい, ただしい, correct, tadashii
苦しい, くるしい, painful, kurushii
細かい, こまかい, detailed, komakai
静か, しずか, quiet, shizuka
健康, けんこう, health, kenko
ゴルフ, ごるふ, golf, gorufu
コース, こーす, course, koosu
頼む, たのむ, to request, tanomu
困る, こまる, to be troubled, komaru
ずっと, ずっと, continuously, zutto
例えば, たとえば, for example, tatoeba
つもり, つもり, intention, tsumori
しばらく, しばらく, for a while, shibaraku
紹介, しょうかい, introduction, shoukai
小学校, しょうがっこう, elementary school, shougakkou
公園, こうえん, park, kouen
中学, ちゅうがく, junior high school, chuugaku
成績, せいせき, grades, seiseki
教科書, きょうかしょ, textbook, kyoukasho
席, せき, seat, seki
教室, きょうしつ, classroom, kyoushitsu
教師, きょうし, teacher, kyoushi
試験, しけん, exam, shiken
合格, ごうかく, pass (a test), goukaku
数学, すうがく, mathematics, suugaku
数字, すうじ, number, suuji
音楽, おんがく, music, ongaku
食事, しょくじ, meal, shokuji
壁, かべ, wall, kabe
信じる, しんじる, to believe, shinjiru
育てる, そだてる, to raise, sodateru
倒れる, たおれる, to fall, taoreru
落とす, おとす, to drop, otosu
代わる, かわる, to change, kawaru
タクシー, たくしー, taxi, takushii
確か, たしか, certain, tashika
立てる, たてる, to stand up, tateru
中学生, ちゅうがくせい, junior high school student, chuugakusei
売れる, うれる, to sell, ureru
着く, つく, to arrive, tsuku
決まる, きまる, to be decided, kimaru
飾る, かざる, to decorate, kazaru
殺す, ころす, to kill, korosu
下げる, さげる, to lower, sageru
贈る, おくる, to send, okuru
訪ねる, たずねる, to visit, tazuneru
打つ, うつ, to hit, utsu
相談, そうだん, consultation, soudan
玄関, げんかん, entrance, genkan
兄弟, きょうだい, siblings, kyoudai
長男, ちょうなん, eldest son, chounan
高さ, たかさ, height, takasa
用, よう, use, you
時代, じだい, era, jidai
位置, いち, position, ichi
季節, きせつ, season, kisetsu
穴, あな, hole, ana
裏, うら, back, ura
島, しま, island, shima
海岸, かいがん, coastline, kaigan
ガラス, がらす, glass, garasu
自然, しぜん, nature, shizen
風, かぜ, wind, kaze
科学, かがく, science, kagaku
太陽, たいよう, sun, taiyou
台風, たいふう, typhoon, taifuu
北, きた, north, kita
馬, うま, horse, uma
牛肉, ぎゅうにく, beef, gyuuniku
雑誌, ざっし, magazine, zasshi
小説, しょうせつ, novel, shousetsu
大使館, たいしかん, embassy, taishikan
故障, こしょう, breakdown, koshou
温度, おんど, temperature, ondo
何か, なにか, something, nanika
向こう, むこう, over there; that side, mukou
真ん中, まんなか, middle, mannaka
遠く, とおく, far, tooku
横, よこ, side; horizontal, yoko
つまらない, つまらない, boring; uninteresting, tsumaranai
素晴らしい, すばらしい, wonderful; amazing, subarashii
毎年, まいとし, every year, maitoshi
来月, らいげつ, next month, raigetsu
日時, にちじ, date and time, nichiji
夕方, ゆうがた, evening, yuugata
通る, とおる, to pass; to go; to follow; to pass through, tooru
自動車, じどうしゃ, automobile, jidousha
慣れる, なれる, to get used to, nareru
撮る, とる, to take (photo), toru
やっと, やっと, at last; finally, yatto
どんどん, どんどん, rapidly; one after another, don-don
並べる, ならべる, to line up; to arrange, naraberu
逃げる, にげる, to escape; to flee, nigeru
渡す, わたす, to hand over, watasu
値段, ねだん, price; cost, nedan
両方, りょうほう, both, ryouhou
約束, やくそく, promise; agreement, yakusoku
一部, いちぶ, part; portion, ichibu
ラジオ, らじお, radio, rajio
入院, にゅういん, hospitalization, nyuuin
ニュース, にゅーす, news, nyuusu
旅行, りょこう, trip; travel, ryokou
用意, ようい, preparation, youi
伸びる, のびる, to stretch; to grow, nobiru
パーティー, ぱーてぃー, party, paatii
ビール, びーる, beer, biiru
早く, はやく, quickly; early, hayaku
番組, ばんぐみ, program, bangumi
ビデオ, びでお, video, bideo
増やす, ふやす, to increase, fuyasu
振る, ふる, to shake; to swing, furu
迎える, むかえる, to welcome, mukaeru
無理, むり, impossible; unreasonable, muri
珍しい, めずらしい, rare; unusual, mezurashii
有名, ゆうめい, famous, yuumei
喜ぶ, よろこぶ, to rejoice; to be happy, yorokobu
留学, りゅうがく, study abroad, ryuugaku
料理, りょうり, cooking; cuisine, ryouri
野菜, やさい, vegetables, yasai
分かれる, わかれる, to separate; to divide, wakareru
特別, とくべつ, special, tokubetsu
理由, りゆう, reason, riyuu
自由, じゆう, freedom; liberty, jiyuu
方向, ほうこう, direction, houkou
残る, のこる, to remain; to be left, nokoru
ビル, びる, building, biru
まとめる, まとめる, to gather; to summarize, matomeru
流れる, ながれる, to flow, nagareru
セーター, せーたー, sweater, seetaa
シャツ, しゃつ, shirt, shatsu
洗濯, せんたく, laundry, sentaku
間違える, まちがえる, to make a mistake, machigaeru
アイスクリーム, あいすくりーむ, ice cream, aisukuriimu
乾く, かわく, to dry, kawaku
冷める, さめる, to cool down, sameru
色々, いろいろ, various; different, iroiro
持って行く, もっていく, to take (something), motteiku
着替える, きがえる, to change clothes, kigaeru
石鹸, せっけん, soap, sekken
野球, やきゅう, baseball, yakyuu
昼食, ちゅうしょく, lunch, chuushoku
朝食, ちょうしょく, breakfast, choushoku
眠る, ねむる, to sleep, nemuru
初め, はじめ, beginning, hajime
火, ひ, fire, hi
西, にし, west, nishi
東, ひがし, east, higashi
南, みなみ, south, minami
夕食, ゆうしょく, dinner, yuushoku
なかなか, なかなか, not easily; quite, nakanaka
励ます, はげます, to encourage, hagemasu
涙, なみだ, tears, namida
夢, ゆめ, dream, yume
職場, しょくば, workplace, shokuba
隣, となり, next to; neighbor, tonari
マンション, まんしょん, apartment, manshon
エレベーター, えれべーたー, elevator, erebeetaa
窓, まど, window, mado
押す, おす, to push, osu
入学, にゅうがく, entrance (to school), nyuugaku
戸, と, door, to
通り, とおり, street, toori
亡くなる, なくなる, to pass away, nakunaru
夫婦, ふうふ, married couple, fuufu
女性, じょせい, woman, josei
森, もり, forest, mori
トラック, とらっく, truck, torakku
レコード, れこーど, record, rekoodo
熱, ねつ, heat; fever, netsu
ページ, ぺーじ, page, peeji
踊る, おどる, to dance, odoru
長さ, ながさ, length, nagasa
厚さ, あつさ, thickness, atsusa
秘密, ひみつ, secret, himitsu
凄い, すごい, amazing; great, sugoi
親切, しんせつ, kind; kind-hearted, shinsetsu
絶対, ぜったい, absolutely; definitely, zettai
先月, せんげつ, last month, sengetsu
一昨年, おととし, the year before last, ototoshi
冬休み, ふゆやすみ, winter vacation, fuyuyasumi
夏休み, なつやすみ, summer vacation, natsuyasumi
休日, きゅうじつ, holiday; day off, kyuujitsu
正月, しょうがつ, New Year, shougatsu
思い出, おもいで, memory, omoide
たまに, たまに, occasionally, tama ni
おかしい, おかしい, strange; funny, okashii
浅い, あさい, shallow, asai
君, きみ, you (informal), kimi
奥さん, おくさん, wife, okusan
赤ちゃん, あかちゃん, baby, akachan
小学生, しょうがくせい, elementary school student, shougakusei
貸す, かす, to lend, kasu
数える, かぞえる, to count, kazoeru
生む, うむ, to give birth, umu
育つ, そだつ, to grow; to be raised, sodatsu
是非, ぜひ, by all means, zehi
黒, くろ, black, kuro
おもちゃ, おもちゃ, toy, omocha
靴, くつ, shoes, kutsu
連絡, れんらく, contact; communication, renraku
伝言, でんごん, message, dengon
預ける, あずける, to entrust, azukeru
下がる, さがる, to lower; to go down, sagaru
泳ぐ, およぐ, to swim, oyogu
アルバイト, あるばいと, part-time job, arubaito
コート, こーと, coat, kooto
趣味, しゅみ, hobby, shumi
散歩, さんぽ, walk; stroll, sanpo
幸せ, しあわせ, happiness, shiawase
安心, あんしん, peace of mind, anshin
大勢, おおぜい, many people, oozei
医者, いしゃ, doctor, isha
運転手, うんてんしゅ, driver, untenshu
新幹線, しんかんせん, bullet train, shinkansen
往復, おうふく, round trip, oufuku
コピー, こぴー, copy, kopii
奥, おく, deep; inside, oku
重さ, おもさ, weight, omosa
親しい, したしい, intimate; close, shitashii
修理, しゅうり, repair, shuuri
カード, かーど, card, kaado
挨拶, あいさつ, greeting, aisatsu
階段, かいだん, stairs, kaidan
配る, くばる, to distribute, kubaru
断る, ことわる, to refuse; to decline, kotowaru
グラム, ぐらむ, gram, guramu
濃い, こい, thick; dark; strong, koi
壊す, こわす, to break; to destroy, kowasu
桜, さくら, cherry blossom, sakura
仕方, しかた, way; method; how to, shikata
絵, え, picture; painting, e
気温, きおん, temperature, kion
品物, しなもの, goods; items, shinamono
吸う, すう, to smoke; to inhale, suu
案内, あんない, guide; information, annai
スキー, すきー, skiing, sukii
金持ち, かねもち, rich person, kanemochi
尋ねる, たずねる, to ask; to inquire, tazuneru
叩く, たたく, to hit; to strike, tataku
帰り, かえり, return; way back, kaeri
卵, たまご, egg, tamago
氷, こおり, ice, koori
留学生, りゅうがくせい, international student, ryuugakusei
ソフト, そふと, software; soft, sofuto
歯医者, はいしゃ, dentist, haisha
蹴る, ける, to kick, keru
敷く, しく, to lay down; to spread, shiku
ひととき, ひととき, moment; short time, hitotoki
交通事故, こうつうじこ, traffic accident, koutsuujiko
遭う, あう, to encounter; to meet (with), au
招待, しょうたい, invitation, shoutai
咲く, さく, to bloom, saku
二十歳, はたち, twenty years old, hatachi
銀, ぎん, silver, gin
内側, うちがわ, inside, uchigawa
池, いけ, pond, ike
石, いし, stone, ishi
愛, あい, love, ai
課, か, lesson; section, ka
大学院, だいがくいん, graduate school, daigakuin
台所, だいどころ, kitchen, daidokoro
カラー, からー, color, karaa
すり, すり, pickpocket, suri
キャンプ, きゃんぷ, camping, kyanpu
オートバイ, おーとばい, motorcycle, ootobai
建つ, たつ, to be built; to stand, tatsu
刺す, さす, to sting; to prick, sasu
言い方, いいかた, way of speaking, iikata
沈む, しずむ, to sink, shizumu
組み立てる, くみたてる, to assemble, kumitateru
恐ろしい, おそろしい, terrifying, osoroshii
外人, がいじん, foreigner, gaijin
牛, うし, cow; beef, ushi
食堂, しょくどう, dining hall, shokudou
毎年, まいねん, every year, mainen
毎週, まいしゅう, every week, maishuu
何度, なんど, how many times, nando
なかなか, なかなか, not easily; quite, nakunaka
さっき, さっき, a while ago, sakki
久しぶり, ひさしぶり, long time no see, hisashiburi
便利, べんり, convenient, benri
迷惑, めいわく, trouble; nuisance, meiwaku
そんなに, そんなに, so much; that much, sonnani
びっくりする, びっくりする, to be surprised, bikkurisuru
足りる, たりる, to be enough, tariru
疲れる, つかれる, to get tired, tsukareru
ひどい, ひどい, terrible, hidoi
全然, ぜんぜん, not at all (with negative), zenzen
猫, ねこ, cat, neko
デパート, でぱーと, department store, depaato
トイレ, といれ, toilet, toire
地下鉄, ちかてつ, subway, chikatetsu
駐車場, ちゅうしゃじょう, parking lot, chuushajou
ぶつかる, ぶつかる, to collide, butsukaru
運賃, うんちん, fare, unchin
通学, つうがく, commuting to school, tsuugaku
見送る, みおくる, to see off, miokuru
泣く, なく, to cry, naku
レストラン, れすとらん, restaurant, resutoran
メモ, めも, memo, memo
予約, よやく, reservation, yoyaku
番号, ばんごう, number, bangou
注文, ちゅうもん, order, chuumon
パン, ぱん, bread, pan
ワイン, わいん, wine, wain
材料, ざいりょう, ingredients, zairyou
豚肉, ぶたにく, pork, butaniku
焼く, やく, to bake; to grill, yaku
匂い, におい, smell, nioi
付ける, つける, to attach; to put on, tsukeru
痩せる, やせる, to lose weight, yaseru
届ける, とどける, to deliver, todokeru
間に合う, まにあう, to be on time, maniau
向く, むく, to face; to turn towards, muku
強さ, つよさ, strength, tsuyosa
得意, とくい, strong point; skill, tokui
塗る, ぬる, to paint; to coat, nuru
投げる, なげる, to throw, nageru
習う, ならう, to learn, narau
注目, ちゅうもく, attention, chuumoku
未来, みらい, future, mirai
箱, はこ, box, hako
右手, みぎて, right hand, migite
左手, ひだりて, left hand, hidarite
プール, ぷーる, pool, puuru
ピアノ, ぴあの, piano, piano
光る, ひかる, to shine, hikaru
踏む, ふむ, to step on, fumu
別々, べつべつ, separately, betsu betsu
ボール, ぼーる, ball, booru
握る, にぎる, to grip, nigiru
真っ赤, まっか, bright red, makka
拾う, ひろう, to pick up, hirou
回す, まわす, to turn, mawasu
ノート, のーと, notebook, nooto
辞める, やめる, to quit, yameru
揺れる, ゆれる, to shake, yureru
立派, りっぱ, splendid, rippa
練習, れんしゅう, practice, renshuu
割る, わる, to break, waru
部分, ぶぶん, part, bubun
拭く, ふく, to wipe, fuku
招く, まねく, to invite, maneku
急, きゅう, urgent, kyuu
汚れる, よごれる, to get dirty, yogoreru
渡る, わたる, to cross, wataru
途中, とちゅう, on the way, tochuu
インタビュー, いんたびゅー, interview, intabyuu
盗む, ぬすむ, to steal, nusumu
普段, ふだん, usual, fudan
旅館, りょかん, Japanese inn, ryokan
博物館, はくぶつかん, museum, hakubutsukan
ホーム, ほーむ, home, hoomu
引っ越す, ひっこす, to move (house), hikkosu
荷物, にもつ, luggage, nimotsu
家賃, やちん, rent, yachin
計画, けいかく, plan, keikaku
廊下, ろうか, corridor, rouka
天井, てんじょう, ceiling, tenjou
ベッド, べっど, bed, beddo
ソファー, そふぁー, sofa, sofaa
屋根, やね, roof, yane
祭り, まつり, festival, matsuri
離婚, りこん, divorce, rikon
葉, は, leaf, ha
ボート, ぼーと, boat, booto
燃える, もえる, to burn, moeru
巻く, まく, to wind, maku
プラスチック, ぷらすちっく, plastic, purasuchikku
訪れる, おとずれる, to visit, otozureru
破る, やぶる, to tear, yaburu
関係, かんけい, relationship, kankei
録音, ろくおん, recording, rokuon
不幸, ふこう, misfortune, fukou
外国語, がいこくご, foreign language, gaikokugo
着物, きもの, kimono, kimono
牛乳, ぎゅうにゅう, milk, gyuunyuu
救急車, きゅうきゅうしゃ, ambulance, kyuukyuusha
果物, くだもの, fruit, kudamono
間違い, まちがい, mistake, machigai
映画館, えいがかん, movie theater, eigakan
怖い, こわい, scary, kowai
鏡, かがみ, mirror, kagami
草, くさ, grass, kusa
敬語, けいご, honorific language, keigo
欠席, けっせき, absence, kesseki
スイッチ, すいっち, switch, suitchi
掃除, そうじ, cleaning, souji
畳, たたみ, tatami mat, tatami
速さ, はやさ, speed, hayasa
林, はやし, forest, hayashi
プレゼント, ぷれぜんと, present, purezento
弁当, べんとう, lunch box, bentou
いつでも, いつでも, anytime, itsudemo
寂しい, さびしい, lonely, sabishii
少しも, すこしも, not at all, sukoshi mo
尊敬, そんけい, respect, sonkei
テニス, てにす, tennis, tenisu
広さ, ひろさ, size, hirosha
読み, よみ, reading, yomi
我慢, がまん, patience, gaman
国籍, こくせき, nationality, kokuseki
恥ずかしい, はずかしい, embarrassed, hazukashii
ボタン, ぼたん, button, botan
洋服, ようふく, western clothes, youfuku
油, あぶら, oil, abura
おかしい, おかしい, strange, okashii
余る, あまる, to be left over, amaru
コート, こーと, sports court (tennis; basketball), ko-to
正直, しょうじき, honest, shoujiki
ドラマ, どらま, drama, dorama
ビザ, びざ, visa, biza
水道, すいどう, water supply, suidou
店員, てんいん, store clerk, ten'in
電池, でんち, battery, denchi
ポケット, ぽけっと, pocket, poketto
握手, あくしゅ, handshake, akushu
そろそろ, そろそろ, soon, sorosoro
ぶどう, ぶどう, grape, budou
迷う, まよう, to hesitate, mayou
見物, けんぶつ, sightseeing, kenbutsu
知らせる, しらせる, to inform, shiraseru
神社, じんじゃ, shrine, jinja
注射, ちゅうしゃ, injection, chuusha
めったに, めったに, rarely, mettani
作文, さくぶん, composition, sakubun
鳴る, なる, to ring; to sound, naru
真面目, まじめ, serious, majime
申し込む, もうしこむ, to apply, moushikomu
冷蔵庫, れいぞうこ, refrigerator, reizouko
気に入る, きにいる, to like, kiniiru
クリスマス, くりすます, Christmas, kurisumasu
ネクタイ, ねくたい, necktie, nekutai
誕生日, たんじょうび, birthday, tanjoubi
独身, どくしん, single, dokushin
苦い, にがい, bitter, nigai
バイオリン, ばいおりん, violin, baiorin
バッグ, ばっぐ, bag, baggu
今まで, いままで, until now, ima made
切符, きっぷ, ticket, kippu
ゴム, ごむ, rubber, gomu
少々, しょうしょう, a little, shoushou
随分, ずいぶん, very; quite, zuibun
引っ張る, ひっぱる, to pull, hipparu
焼ける, やける, to burn, yakeru
鉛筆, えんぴつ, pencil, enpitsu
会話, かいわ, conversation, kaiwa
ギター, ぎたー, guitar, gitaa
茶, ちゃ, tea, cha
暑さ, あつさ, heat, atsusa
胃, い, stomach, i
禁煙, きんえん, no smoking, kin'en
丸い, まるい, round, marui
写る, うつる, to be photographed, utsuru
喫茶店, きっさてん, cafe, kissaten
やっぱり, やっぱり, as expected, yappari
週刊誌, しゅうかんし, weekly magazine, shuukanshi
棚, たな, shelf, tana
震える, ふるえる, to tremble, furueru
磨く, みがく, to polish, migaku
カーテン, かーてん, curtain, kaaten
火事, かじ, fire, kaji
ナイフ, ないふ, knife, naifu
皆さん, みなさん, everyone, minasan
受ける, うける, to receive, ukeru
付く, つく, to stick, tsuku
私, わたし, I; (formal), watakushi
結構, けっこう, fine; good, kekkou
悪口, わるぐち, badmouthing, waruguchi
広まる, ひろまる, to spread, hiromaru
内緒, ないしょ, secret, naisho
つぶる, つぶる, to shut (eyes), tsuburu
用件, ようけん, matter, youken
ロマンチック, ろまんちっく, romantic, romanchikku
貯金,ちょきん,savings; money kept for future use,chokin  
バイク,ばいく,bike; motorcycle,baiku  
預かる,あずかる,to keep; to look after,azukaru  
オレンジ,おれんじ,orange; the fruit or color,orenji  
噛む,かむ,to bite; to chew,kamu  
きつい,きつい,tight; harsh; severe,kitsui  
越える,こえる,to cross; to surpass,koeru  
小包,こづつみ,parcel; small package,kozutsumi  
新年,しんねん,New Year; beginning of year,shinnen  
配達,はいたつ,delivery; distributing items,haitatsu  
動物園,どうぶつえん,zoo; animal exhibition,doubutsuen  
封筒,ふうとう,envelope; letter covering,fuutou  
危ない,あぶない,dangerous; risky situation,abunai  
テキスト,てきすと,text; book; written content,tekisuto  
ビニール,びにーる,vinyl; plastic-like material,biniiru  
アルバム,あるばむ,album; photo or music,arubamu  
水泳,すいえい,swimming; water-based sport,suiei  
混む,こむ,to be crowded; congested,komu  
スカート,すかーと,skirt; clothing item,sukaato  
取れる,とれる,to take; to detach,toreru  
ペン,ぺん,pen; writing instrument,pen  
物,もの,thing; object; item,mono  
郵便,ゆうびん,mail; postal service,yuubin  
割れる,われる,to break; to crack,wareru  
駅員,えきいん,station staff; train worker,ekiin  
おしゃべり,おしゃべり,chat; casual talk,oshaberi  
緑色,みどりいろ,green; the color midori,midoriiro  
毎朝,まいあさ,every morning; daily morning,mai asa  
曲げる,まげる,to bend; to curve,mageru  
きっと,きっと,surely; with certainty,kitto  
理科,りか,science; academic subject,rika  
下着,したぎ,underwear; inner clothing,shitagi  
太る,ふとる,to gain weight; get fat,futoru  
冷房,れいぼう,air conditioning; cooling system,reibou  
別れる,わかれる,to separate; to break up,wakareru  
空く,あく,to become vacant; be empty,aku  
出掛ける,でかける,to go out; leave home,dekakeru  
毎晩,まいばん,every night; nightly occurrence,mai ban  
指輪,ゆびわ,ring; finger accessory,yubiwa  
腐る,くさる,to rot; to spoil,kusaru  
貧乏,びんぼう,poor; lacking wealth,binbou  
おしゃれ,おしゃれ,fashionable; stylish appearance,oshare  
休憩,きゅうけい,break; rest; intermission,kyuukei  
舌,した,tongue; organ for tasting,shita  
ジュース,じゅーす,juice; liquid beverage,juusu  
ゼロ,ぜろ,zero; nothing; nil,zero  
朝刊,ちょうかん,morning paper; daily news,choukan  
丁寧,ていねい,polite; courteous behavior,teinei  
苦手,にがて,weak at; not good at,nigate  
日,ひ,day; sun; time unit,hi  
引っ越し,ひっこし,move; house relocation,hikkoshi  
歩道,ほどう,sidewalk; pedestrian path,hodou  
折れる,おれる,to break; to snap,oreru  
見送り,みおくり,farewell; seeing off,miokuri  
夕刊,ゆうかん,evening paper; nightly news,yuukan  
この間,このあいだ,the other day; recently,kono aida  
冷える,ひえる,to cool; to chill,hieru  
ピンク,ぴんく,pink; the color,pinku  
グラス,ぐらす,glass; drinking cup,gurasu  
毛,け,hair; fur; animal coat,ke  
黒板,こくばん,blackboard; chalkboard,kokuban  
積もる,つもる,to pile up; to accumulate,tsumoru  
半年,はんとし,half a year; six months,hantoshi  
現在,げんざい,present; current time,genzai  
利用,りよう,usage; practical application,riyou  
方法,ほうほう,method; way of doing,houhou  
中心,ちゅうしん,center; middle point,chuushin  
明らか,あきらか,clear; obvious; evident,akiraka  
社長,しゃちょう,president; company head,shachou  
ほぼ,ほぼ,almost; nearly complete,hobo  
商品,しょうひん,product; merchandise,shouhin  
大型,おおがた,large-scale; big size,oogata  
限る,かぎる,to limit; to restrict,kagiru  
記録,きろく,record; documentation,kiroku  
具体的,ぐたいてき,specific; concrete example,gutaiteki  
効果,こうか,effect; result; impact,kouka  
公開,こうかい,public; open to public,koukai  
作品,さくひん,work; creation; production,sakuhin  
迫る,せまる,to approach; to press,semaru  
大会,たいかい,tournament; large meeting,taikai  
背景,はいけい,background; scenery; context,haikei  
文字,もじ,character; written symbol,moji  
規則,きそく,rule; regulation, kisoku  
近所,きんじょ,neighborhood; nearby area,kinjo  
グラフ,ぐらふ,graph; chart; visual data,gurafu  
首都,しゅと,capital city; main city,shuto  
減らす,へらす,to reduce; to decrease,herasu  
隠れる,かくれる,to hide; to conceal,kakureru  
美術館,びじゅつかん,art museum; gallery,bijutsukan  
ばか,ばか,stupid; foolish person,baka  
暇,ひま,free time; leisure,hima  
絵葉書,えはがき,postcard; picture card,ehagaki  
あんなに,あんなに,so much; to that extent,annani  
行き,いき,direction; going somewhere,iki  
通勤,つうきん,commuting; work travel,tsuukin  
ちゃんと,ちゃんと,properly; neatly done,chanto  
のんびり,のんびり,relaxing; unhurriedly,nonbiri  
緊張,きんちょう,nervousness; tension,kinchou  
気付く,きづく,to notice; to realize,kizuku  
物語,ものがたり,story; narrative tale,monogatari  
出口,でぐち,exit; way out,deguchi  
登る,のぼる,to climb; to ascend,noboru  
真っ白,まっしろ,pure white; completely white,masshiro  
下ろす,おろす,to lower; to unload,orosu  
貸し出す,かしだす,to lend; to loan,kashidasu  
サッカー,さっかー,soccer; football,sakkaa  
暖房,だんぼう,heating; indoor heating,danbou  
手袋,てぶくろ,gloves; hand coverings,tebukuro  
留守,るす,absence; being away,rusu  
嘘,うそ,lie; falsehood,uso  
遠慮,えんりょ,reservation; holding back,enryo  
折る,おる,to fold; to break,oru  
スープ,すーぷ,soup; broth,suupu  
バナナ,ばなな,banana; the fruit,banana  
可哀相,かわいそう,pitiful; deserving pity,kawaisou  
パトカー,ぱとかー,police car; patrol car,patokaa  
ハンバーガー,はんばーがー,hamburger; sandwich,hanbaagaa  
毛布,もうふ,blanket; covering,moufu  
エスカレーター,えすかれーたー,escalator; moving stairs,esukareetaa  
お嬢さん,おじょうさん,young lady; daughter,ojousan  
手帳,てちょう,notebook; planner,techou  
タオル,たおる,towel; cloth for drying,taoru  
売店,ばいてん,kiosk; shop; stall,baiten  
パチンコ,ぱちんこ,pachinko; pinball machine,pachinko  
謝る,あやまる,to apologize; to say sorry,ayamaru  
ケーキ,けーき,cake; dessert,keeki  
天気予報,てんきよほう,weather forecast; prediction,tenki yohou  
変,へん,strange; unusual; odd,hen  
一生懸命,いっしょうけんめい,with effort; diligently,isshoukenmei  
間違う,まちがう,to make a mistake; to err,machigau  
事務室,じむしつ,office; administrative room,jimushitsu  
スーツ,すーつ,suit; formal wear,suutsu  
チケット,ちけっと,ticket; admission pass,chiketto  
チョコレート,ちょこれーと,chocolate; sweet treat,chokoreeto  
脱ぐ,ぬぐ,to take off; to undress,nugu  
年賀状,ねんがじょう,New Year’s card,nengajou  
乗り物,のりもの,vehicle; mode of transport,norimono  
布団,ふとん,futon; bedding,futon  
役に立つ,やくにたつ,to be useful; to help,yakunitatsu  
破れる,やぶれる,to tear; to be torn,yabureru  
用事,ようじ,errand; task; business,youji  
写す,うつす,to copy; to photograph,utsusu  
腕時計,うでどけい,wristwatch; timepiece,udedokei  
贈り物,おくりもの,gift; present,okurimono  
チャンネル,ちゃんねる,channel; TV station,channeru  
冷やす,ひやす,to cool; to refrigerate,hiyasu  
片付ける,かたづける,to tidy up; to clean,katadzukeru  
乾杯,かんぱい,cheers; toast; celebration,kanpai  
停車,ていしゃ,stop; train stop,teisha  
鳴く,なく,to chirp; to make sounds,naku  
ガソリンスタンド,がそりんすたんど,gas station; refueling place,gasorinsutando  
片道,かたみち,one way; single trip,katamichi  
交番,こうばん,police box;koban,kouban  
大分,だいぶ,considerably; quite a lot,daibu  
デート,でーと,date; outing; appointment,deeto  
梅雨,つゆ,rainy season; monsoon,tsuyu  
真っ直ぐ,まっすぐ,straight; direct,massugu  
レモン,れもん,lemon; citrus fruit,remon  
上着,うわぎ,jacket; outer garment,uwagi  
偉い,えらい,great; remarkable; excellent,erai  
書き方,かきかた,way of writing; style,kakikata  
炊く,たく,to cook; to boil,taku  
チーズ,ちーず,cheese; dairy product,chiizu  
ドライブ,どらいぶ,drive; driving trip,doraibu  
踏切,ふみきり,railroad crossing,fumikiri  
ラケット,らけっと,racket; sports equipment,raketto  
受付,うけつけ,reception; information desk,uketsuke  
怒る,おこる,to get angry; to scold,okoru  
化粧,けしょう,makeup; cosmetics,keshou  
都合,つごう,convenience; circumstances,tsugou  
ひげ,ひげ,beard; mustache; facial hair,hige  
本棚,ほんだな,bookshelf; bookcase,hondana  
真っ暗,まっくら,pitch dark; total darkness,makkura  
沸く,わく,to boil; to heat up,waku  
売り切れる,うりきれる,to be sold out,urikireru  
押し入れ,おしいれ,closet; storage space,oshiire  
革,かわ,leather; animal hide,kawa  
ぐっすり,ぐっすり,soundly; deeply; peacefully,gussuri  
紅茶,こうちゃ,black tea;kouchya,koucha  
邪魔,じゃま,obstacle; hindrance;jyama,jama  
ソース,そーす,sauce; condiment,soosu  
足す,たす,to add; to supplement,tasu  
トマト,とまと,tomato; fruit,torimato  
バター,ばたー,butter; dairy spread,bataa  
発車,はっしゃ,departure; leaving; starting,hassha  
バレーボール,ばれーぼーる,volleyball; sport,barebooru  
おかず,おかず,side dish; meal accompaniment,okazu  
カレンダー,かれんだー,calendar; date tracker,karendaa  
