French,English,Example
"propre","own; clean","Garde ta conscience propre en agissant avec intégrité."
"confiance","trust; confidence","La confiance en soi est la clé de tous les succès."
"cinq","five","Cinq secondes de courage peuvent changer ta vie."
"bonsoir","good evening","Bonsoir, que cette soirée t’apporte la paix."
"compte","account; to count","Chaque compte rendu est une leçon de progrès."
"téléphone","telephone","Appelle-moi dès que tu as besoin de parler."
"casser","to break","Casse tes chaînes mentales et sois libre."
"prochain","next","Le prochain chapitre de ta vie t’attend."
"frapper","to hit; to knock","Frappe à la porte des opportunités sans hésiter."
"facile","easy","Rien de grand n’est facile, mais tout est possible."
"attention","attention; care","Porte attention à ce qui nourrit ton âme."
"rêve","dream","Poursuis ton rêve avec tout ton cœur."
"copain","friend; boyfriend","Mon copain est mon partenaire dans toutes mes aventures."
"malade","sick; ill","Même malade, garde l’espoir d’un lendemain meilleur."
"rue","street","Sur cette rue, j’ai trouvé ma véritable vocation."
"lettre","letter","Cette lettre est le reflet de mes sentiments les plus profonds."
"ignorer","to ignore","Ignore les voix négatives et écoute ta voix intérieure."
"fête","party; celebration","La fête de la vie se célèbre chaque jour."
"couper","to cut","Coupe les liens toxiques pour retrouver ta liberté."
"esprit","mind; spirit","Un esprit calme est une arme puissante."
"super","great; awesome","Super, tu es sur la bonne voie pour réussir."
"taire","to be silent","Parfois il faut se taire pour mieux écouter."
"seigneur","lord; master","Seigneur, guide-moi vers la lumière et la vérité."
"flic","cop (slang)","Le flic a veillé sur notre sécurité toute la nuit."
"parfois","sometimes","Parfois, un seul instant suffit pour tout changer."
"capitaine","captain","Sois le capitaine de ton navire, dirige-le vers tes rêves."
"âge","age","L’âge n’est qu’un nombre face à l’énergie du cœur."
"autant","as much; so much","Autant de passion mérite autant d’audace."
"force","strength","Ta force intérieure est plus grande que tu ne l’imagines."
"pièce","room; coin; play","Dans cette pièce, chaque mot compte."
"quatre","four","Quatre piliers soutiennent tes plus grandes ambitions."
"cul","ass; butt","Ne reste pas assis sur ton cul, bouge et transforme ta vie."
"difficile","difficult; hard","Ce qui est difficile aujourd'hui sera ta plus grande fierté demain."
"bras","arm; embrace","Dans tes bras, je trouve la force de surmonter toutes les épreuves."
"tromper","to deceive; to cheat","Ne te trompe pas sur ta valeur : tu es capable de grandes choses."
"surtout","above all; especially","Surtout, n'oublie jamais la puissance de tes rêves."
"ressembler","to resemble; to look like","Ressens la liberté en ressemblant à la meilleure version de toi-même."
"jurer","to swear; to vow","Je te jure que chaque pas te rapproche de ta destinée."
"plan","plan; map","Élabore ton plan, puis mets-le en action sans hésiter."
"prison","prison; confinement","Brise les chaînes de ta prison intérieure et vis librement."
"sale","dirty; nasty","Balaye le sale doute de ton esprit et laisse place à la clarté."
"courir","to run","Cours vers tes objectifs comme si ta vie en dépendait."
"état","state; condition","Ton état d'esprit détermine la qualité de ta réalité."
"remettre","to put back; to postpone","Ne remets pas à demain ce que ton cœur réclame aujourd'hui."
"carte","map; card","Trace ta carte du succès et suis-la avec détermination."
"paix","peace","La paix intérieure est le plus grand trésor que tu puisses trouver."
"noir","black; dark","Même dans le noir le plus profond, ta lumière peut briller."
"exactement","exactly","Fais exactement ce que ton cœur te dicte, sans compromis."
"drôle","funny; odd","Trouve le côté drôle de chaque situation pour avancer plus léger."
"refuser","to refuse","Refuse de laisser la peur contrôler ton destin."
"dès","as soon as; from","Dès maintenant, engage-toi à vivre selon tes rêves."
"président","president; leader","Sois le président de ta vie et gouverne-la avec courage."
"cours","course; class","Suis le cours de ton intuition, elle te guidera toujours."
"grave","serious; serious matter","Ce n'est pas grave d'échouer, c'est grave de ne pas essayer."
"terminer","to finish; to end","Termine chaque projet avec la fierté d'avoir tout donné."
"ciel","sky; heaven","Regarde le ciel, il te rappelle que tout est possible."
"partout","everywhere","Partout où tu iras, porte ta passion comme étendard."
"âme","soul","Écoute la voix de ton âme, elle connaît le chemin de la vérité."
"patron","boss; owner","Sois le patron de ton destin, prends les rênes sans peur."
"amuser","to amuse; to entertain","Amuse-toi en poursuivant tes rêves, le plaisir est le moteur de la réussite."
"celle","the one (fem.)","Celle qui croit en elle-même peut déplacer des montagnes."
"visage","face; visage","Ton visage reflète la lumière que tu portes en toi."
"intéresser","to interest","Intéresse-toi à tes rêves comme s'ils étaient déjà réalité."
"reconnaître","to recognize","Reconnais ta valeur et laisse-la rayonner dans chaque action."
"rire","to laugh","Le rire guérit les blessures invisibles de l'âme."
"médecin","doctor","Le meilleur médecin pour ton cœur est ton propre courage."
"rapport","report; relationship","Crée un rapport puissant avec toi-même avant tout."
"pardonner","to forgive","Pardonner libère l'esprit et ouvre la voie à la paix intérieure."
"avis","opinion; advice","Ton avis compte : fais-en une arme pour inspirer les autres."
"embrasser","to kiss; to embrace","Embrasse chaque instant comme un cadeau unique."
"retour","return; comeback","Ton retour sera célébré comme la renaissance d'un héros."
"simple","simple","Parfois, la solution la plus simple est la plus puissante."
"danser","to dance","Danse sous la pluie de la vie et savoure chaque goutte."
"exister","to exist","Exister, c'est oser laisser une trace indélébile dans ce monde."
"différent","different","Sois fier d'être différent : c'est ta plus grande force."
"souvent","often","Souvent, un petit pas chaque jour mène à un grand voyage."
"lumière","light","Sois la lumière qui dissipe les ténèbres autour de toi."
"génial","awesome; brilliant","Ta vision est géniale : partage-la et change le monde."
"libre","free","Vis libre, sans chaînes, selon les lois de ton cœur."
"près","near; close","Garde tes rêves près de ton cœur et protège-les avec passion."
"dollar","dollar","Chaque dollar investi dans ton avenir compte vraiment."
"sûrement","surely; certainly","Tu réussiras sûrement si tu restes déterminé."
"pareil","same; alike","Je ne suis pas pareil que tu étais hier."
"d'autres","others; some others","D'autres opportunités t'attendent au tournant."
"hôpital","hospital","L’hôpital de la ville a sauvé des vies incroyables."
"ceci","this","Ceci est le début de ta plus grande aventure."
"réussir","to succeed","Pour réussir, il faut croire en soi sans réserve."
"bizarre","weird; odd","C’est bizarre comme un mot peut changer ton état d’esprit."
"voix","voice","Ta voix intérieure est la plus fiable des conseillères."
"protéger","to protect","Protège tes rêves comme un trésor précieux."
"honneur","honor","Agis toujours avec honneur, même dans l’adversité."
"tôt","early","Se lever tôt donne un avantage sur ceux qui dorment encore."
"équipe","team","Une équipe soudée réalise l’impossible ensemble."
"prévenir","to warn; to prevent","Préviens-moi dès que tu as besoin d’un coup de main."
"cheval","horse","Monter un cheval, c’est sentir la liberté à chaque foulée."
"ailleurs","elsewhere","Parfois, le bonheur se trouve ailleurs que là où on croit."
"maître","master; teacher","Deviens le maître de ta vie grâce à ta volonté."
"avion","airplane","L’avion t’emmène loin, mais c’est ton cœur qui guide ton voyage."
"bout","end; tip","Au bout du chemin, tu trouveras ta vérité."
"habiter","to live; to reside","Habite tes rêves avant qu’ils n’habitent ta peur."
"faim","hunger","La faim de réussite est le moteur des grands champions."
"ensuite","then; next","Ensuite, laisse ton courage prendre le relais."
"l'un","the one; one of","L’un de tes plus grands défis est de croire en toi."
"froid","cold","Même dans le froid, ton feu intérieur peut réchauffer le monde."
"normal","normal","Ce qui est normal pour toi peut être extraordinaire pour les autres."
"déranger","to disturb; to bother","Ne te laisse pas déranger par les voix négatives."
"reprendre","to resume; to take back","Reprends le contrôle de ta vie sans hésiter."
"oncle","uncle","Mon oncle m’a appris à ne jamais abandonner."
"prix","price; prize","Le prix du succès est payé en persévérance quotidienne."
"retard","delay; late","Un léger retard ne doit jamais stopper ta progression."
"détruire","to destroy","Détruis tes limites mentales pour révéler ton potentiel."
"cadeau","gift","Chaque jour est un cadeau que tu peux déballer avec gratitude."
"pousser","to push; to grow","Pousse tes limites pour découvrir ta véritable force."
"face","face; in front of","Fais face à tes peurs et elles perdront leur pouvoir."
"gueule","mouth; slang “face”","Arrête de faire la gueule et souris à la vie."
"chemin","path; way","Choisis un chemin qui aligne ton cœur et ton esprit."
"vivant","alive","Sentir son cœur battre prouve qu’on est vraiment vivant."
"général","general; common","Le général de ta vie est ta passion sans compromis."
"bateau","boat; ship","Monte à bord de ton propre bateau et trace ta route."
"million","million","Un million de petites actions crée un impact colossal."
"sac","bag; sack","Porte ton sac de rêves et marche sans jamais t’arrêter."
"impossible","impossible","Ce mot devient possible quand tu refuses d’abandonner."
"seconde","second","Chaque seconde compte, n’en perds pas une seule."
"découvrir","to discover","Découvre-toi toi-même avant de découvrir le monde."
"erreur","mistake","Une erreur est le premier pas vers une meilleure solution."
"soleil","sun","Lève-toi avec le soleil pour illuminer ta journée."
"voyage","journey; trip","Le plus beau voyage est celui qui te rapproche de toi-même."
"sauter","to jump","Sauter dans l’inconnu révèle la force de ton courage."
"rêver","to dream","Rêve grand, puis travaille dur pour concrétiser tes visions."
"détester","to hate","Détester son passé empêche d’aimer pleinement le présent."
"clair","clear; bright","Le message est clair : suis ton instinct."
"con","idiot; stupid","Ne sois pas con, prends soin de tes rêves."
"faux","false; wrong","Un faux pas peut te mener vers une leçon précieuse."
"paraître","to appear; to seem","Il paraît que tu as accompli l'impossible."
"balle","bullet; ball","Une seule balle de courage peut percer le doute."
"empêcher","to prevent","Rien ne peut empêcher une volonté inébranlable."
"maintenir","to maintain; to hold","Maintiens ta vision, même quand tout vacille."
"cheveu","hair","Chaque cheveu de ta tête est le symbole de ta force."
"papier","paper","Ce papier renferme le plan de ta nouvelle vie."
"sujet","subject; topic","Le sujet de ton livre, c'est ta propre résilience."
"supposer","to suppose; to assume","Ne suppose pas l'échec avant même d'avoir essayé."
"tranquille","calm; quiet","Reste tranquille : la tempête passe toujours."
"épouser","to marry","Épouse ton destin et construis ta légende."
"blanc","white","Un espace blanc sur le papier est une invitation à créer."
"table","table","Pose tes idées sur la table et fais-les grandir."
"toute","all; whole (fem.)","Toute ta vie est une toile vierge à peindre."
"dix","ten","Dix secondes de courage valent des années de regret."
"clé","key","La clé du succès est cachée dans ta persévérance."
"agent","agent; officer","Un agent de changement, c'est toi-même."
"approcher","to approach","Approche-toi de tes rêves sans jamais reculer."
"sens","sense; meaning","Le sens de ta vie se révèle dans chaque action."
"craindre","to fear","Ne crains pas l'obstacle ; crains de ne pas essayer."
"six","six","Six secondes pour oser, toute une vie pour réussir."
"message","message","Ton message peut éveiller des consciences entières."
"crier","to shout","Crie ta vérité pour qu'elle résonne dans le monde."
"salle","room; hall","Dans cette salle, ton écho peut changer les cœurs."
"inviter","to invite","Invite le succès en travaillant avec passion."
"effet","effect","L'effet papillon commence par un petit geste."
"réfléchir","to reflect; to think","Réfléchis à ton potentiel avant de te limiter."
"espèce","species; kind","Tu es de l'espèce des bâtisseurs de rêves."
"arranger","to arrange; to fix","Arrange ta vie selon tes propres règles."
"naître","to be born","Renaitre chaque jour est un choix puissant."
"allô","hello (phone)","Allô ? C'est ton avenir qui t'appelle."
"passé","past","Le passé est un professeur, pas une prison."
"bois","wood; forest","Bois profondément, puis avance avec clarté."
"propos","remark; statement","Chaque propos sincère peut toucher une âme."
"camp","camp; side","Choisis ton camp : l'espoir ou la résignation."
"sorte","kind; sort","Quelle sorte de vie veux-tu vraiment vivre ?"
"hôtel","hotel","Cet hôtel de rêves est construit sur ta détermination."
"début","beginning","Le début est souvent la partie la plus courageuse."
"souffrir","to suffer","Souffrir peut forger une résilience inébranlable."
"jambe","leg","Tiens-toi sur tes deux jambes, avance sans crainte."
"remercier","to thank","Remercie-toi pour chaque petit pas accompli."
"choix","choice","Ton choix d'aujourd'hui détermine ton destin de demain."
"sécurité","safety; security","La vraie sécurité vient de la confiance en soi."
"baiser","to kiss","Un baiser sincère peut guérir les blessures les plus profondes."
"avocat","lawyer; avocado","Sois l'avocat de ta propre cause grâce à ton courage."
"attraper","to catch","Attrape chaque opportunité avant qu'elle ne s'envole."
"client","client; customer","Ton client le plus important, c'est toi-même."
"courant","current; common","Nage à contre-courant pour te distinguer."
"dépêcher","to hurry; to rush","Dépêche-toi si tu veux attraper le dernier train vers tes ambitions."
"peuple","people; nation","Le peuple uni peut changer le cours de l’histoire."
"dame","lady; woman","Cette dame a osé briser les barrières et inspirer des générations."
"dessus","on top; above","Regarde au-dessus des nuages, c’est là que réside ton prochain sommet."
"abandonner","to give up; to abandon","N’abandonne jamais, même quand tout semble perdu."
"vérifier","to verify; to check","Vérifie tes progrès chaque jour pour t’assurer de ta trajectoire."
"journal","newspaper; diary","Chaque page de ton journal est le témoignage de ta croissance."
"sérieux","serious; earnest","Prends ton avenir au sérieux et agis avec détermination."
"brûler","to burn","Brûle tes doutes et laisse la passion guider tes pas."
"or","gold; but","Le but n’est pas l’or, mais la fierté de ton accomplissement."
"loi","law","Respecte ta propre loi intérieure avant de juger celle des autres."
"fond","bottom; background","Au fond de toi se trouve une force insoupçonnée."
"gosse","kid; brat","Ce gosse audacieux a déjà un rêve plus grand que beaucoup d’adultes."
"fric","money; dough (slang)","Le fric n’achète pas la paix intérieure, mais il aide à créer les conditions du succès."
"situation","situation; circumstance","Ta situation actuelle n’est qu’un point de départ, pas une destination."
"euh","uh; um","Euh… ton potentiel est bien plus vaste que tu ne l’imagines."
"sauf","except; unless","Tu réussiras sauf si tu cesses d’y croire."
"accident","accident; mishap","Chaque accident de parcours est une leçon déguisée."
"doute","doubt","Le doute est l’ombre de la réussite, fais-le reculer avec confiance."
"scène","scene; stage","Sur la scène de la vie, sois l’acteur principal de ton histoire."
"soldat","soldier","Un soldat de la vie affronte ses peurs et ne recule jamais."
"amoureux","in love; lover","Amoureux de tes rêves, tu trouveras la force de les réaliser."
"assurer","to ensure; to assure","Assure-toi de viser haut, puis fais en sorte d’y parvenir."
"preuve","proof; evidence","Ta persévérance est la meilleure preuve de ton engagement."
"humain","human","Être humain, c’est avoir la capacité de se réinventer chaque jour."
"mer","sea","Laisse la mer de tes idées déferler avec puissance et liberté."
"silence","silence","Dans le silence, tu entends la voix de ton véritable moi."
"télé","TV; television","Éteins la télé et allume la flamme de ta créativité."
"victime","victim","Ne reste pas victime de tes peurs, deviens acteur de ta destinée."
"complètement","completely","Compltètement dévoué à ton rêve, tu feras l’impossible."
"pute","bitch; whore (slang)","Ignore les insultes, car ton esprit est trop noble pour se laisser salir."
"calme","calm; quiet","Garde ton calme face à l’adversité et transforme-la en opportunité."
"derrière","behind","Derrière chaque échec se cache la clé d’un futur succès."
"garde","guard; keep","Garde ton cap, même quand les vagues semblent te submerger."
"meurtre","murder; killing","Le meurtre de tes doutes est le premier pas vers la liberté."
"groupe","group; band","Un groupe soudé peut accomplir l’impossible ensemble."
"crime","crime","Le vrai crime est de ne jamais oser suivre ses rêves."
"traiter","to treat; to handle","Traite chaque obstacle comme un tremplin vers ta grandeur."
"doucement","gently; softly","Avance doucement mais sûrement vers tes objectifs."
"blesser","to hurt","Ne blesse pas tes espoirs, nourris-les avec foi et courage."
"colonel","colonel","Le colonel de ta vie est ton indomptable volonté."
"certain","certain; sure","Sois certain de ta valeur avant de la faire valoir."
"secret","secret","Ton secret le plus puissant est la foi en toi-même."
"parole","word; speech","Une parole sincère peut réconcilier des cœurs brisés."
"triste","sad","Même triste, tu peux transformer ta douleur en force."
"honte","shame","La honte n’est qu’un masque, laisse ta véritable lumière briller."
"rouge","red","Le rouge de ta passion éclaire le chemin de tes rêves."
"dégager","to clear; to get rid of","Dégage les pensées négatives pour laisser place à la confiance."
"soirée","evening; party","Cette soirée marque le début de ta nouvelle aventure."
"dangereux","dangerous","Il est dangereux de ne pas oser sortir de sa zone de confort."
"armée","army","L’armée de tes convictions te rend invincible face aux obstacles."
"filer","to dash; to hand over","File-moi ce livre, il contient les clés de ta réussite."
"risquer","to risk","Oser risquer l’échec est le premier pas vers la victoire."
"dos","back","Tiens-toi droit, garde le dos solide et avance sans peur."
"appel","call; summons","Réponds à l’appel de tes rêves avant qu’il ne soit trop tard."
"visite","visit","Une visite inattendue peut changer le cours de ta journée."
"mener","to lead","Mène ta vie comme un chef-d’œuvre en cours de création."
"fleur","flower","Une seule fleur peut illuminer un champ de ténèbres."
"attaquer","to attack","Attaque tes peurs avant qu’elles ne t’attaquent."
"coin","corner; nook","Dans chaque coin sombre se cache une opportunité à saisir."
"prince","prince","Sois le prince de ton propre royaume intérieur."
"pire","worst","Le pire danger est de ne jamais tenter sa chance."
"bordel","mess; chaos (slang)","Même dans le bordel, trouve la beauté du désordre créatif."
"professeur","teacher; professor","Chaque échec est ton professeur le plus exigeant."
"fumer","to smoke","Fumer tes doutes te libère de leur emprise toxique."
"répéter","to repeat","Répète-toi chaque jour que tu es capable de tout."
"habitude","habit","Transforme tes mauvaises habitudes en forces puissantes."
"signer","to sign","Signe ce pacte avec toi-même : ne jamais abandonner."
"ficher","to file; to ditch (slang)","Fiche tes peurs à la porte et n’en reparle plus."
"mériter","to deserve","Tu mérites chaque réussite que tu vas accomplir."
"réponse","answer; response","La réponse à tes doutes est déjà en toi, écoute-la."
"rejoindre","to join; to reach","Rejoins le sommet, tu as travaillé pour y arriver."
"discuter","to discuss","Discutons de tes rêves et construisons-les ensemble."
"village","village","Ce village pittoresque est le témoin de ton prochain départ."
"pourtant","yet; however","Pourtant, chaque chute te rapproche d’un plus grand envol."
"avancer","to move forward","Avance sans regarder en arrière, ton futur t’attend."
"connerie","bullshit; stupidity","Ignore les conneries et concentre-toi sur ta vision."
"reposer","to rest; to rely","Repose-toi, puis repars plus fort qu’avant."
"échapper","to escape","Échappe aux chaînes du doute et prends ton envol."
"forme","shape; fitness","Garde-toi en forme pour relever tous les défis."
"bruit","noise","Dans le bruit du monde, trouve ta voix intérieure."
"chacun","each; everyone","Chacun de tes pas compte dans la course de ta vie."
"diable","devil","Ne laisse pas le diable du doute te dicter tes choix."
"exemple","example","Sois l’exemple vivant de la persévérance et de la réussite."
"charger","to load; to charge","Charge tes batteries mentales avec des pensées positives."
"chat","cat","Comme un chat, retombe toujours sur tes pattes."
"ennemi","enemy","Ton plus grand ennemi est la peur, apprends à la vaincre."
"gamin","kid; brat","Ce gamin a déjà une vision d’adulte : celle de la liberté."
"rendez-vous","appointment; date","Ce rendez-vous avec ton avenir commence maintenant."
"debout","standing; up","Reste debout face à l’adversité, ne laisse rien te faire plier."
"obliger","to force; to oblige","Oblige-toi à rêver grand, puis agis en conséquence."
"trou","hole; gap","Chaque trou dans ta confiance peut être rebouché par l’action."
"idiot","idiot; fool","Ne te traite pas d’idiot : utilise tes erreurs comme tremplin."
"accompagner","to accompany","Accompagne tes rêves de travail acharné pour les voir naître."
"fenêtre","window","Ouvre la fenêtre de ton esprit et laisse entrer l’inspiration."
"oser","to dare","Ose franchir tes limites, c’est là que commence la magie."
"impression","impression; feeling","Laisse une impression durable par la force de tes actions."
"intérieur","interior; inside","L’univers le plus vaste est celui de ton monde intérieur."
"bouche","mouth","Ouvre ta bouche pour partager ta vérité sans retenue."
"ligne","line","Trace ta propre ligne dans le sable et ne recule jamais."  
"absolument","absolutely","Absolument, tu as raison : il est temps de passer à l’action."
"doux","soft; gentle","Sa voix douce apaisait toutes mes inquiétudes."
"regretter","to regret","Tu ne devras jamais regretter d’avoir suivi ton cœur."
"mur","wall","Franchis ce mur mental pour découvrir ton potentiel."
"enfer","hell","Même dans l’enfer des doutes, ta volonté te sauvera."
"prouver","to prove","Prouve-toi chaque jour que tu es capable de tout."
"boîte","box","Cette boîte contient le secret de ta prochaine victoire."
"santé","health","Ta santé est ton plus précieux capital, prends-en soin."
"t","you (colloquial)","T’es prêt pour ce défi ? Je crois en toi."
"dîner","to dine; dinner","Un dîner sous les étoiles peut transformer une soirée ordinaire."
"couvrir","to cover","Couvre tes peurs de courage et avance sans hésiter."
"magnifique","magnificent","Le lever de soleil était tout simplement magnifique."
"obtenir","to obtain","Obtiens ce que tu désires en travaillant avec passion."
"cuisine","kitchen; cooking","La cuisine est l’art de nourrir le corps et l’âme."
"vue","view","La vue du sommet m’a donné des frissons d’excitation."
"terrible","terrible","Un terrible défi peut devenir ton plus grand triomphe."
"peau","skin","Ta peau porte les marques de ta résilience et de ton courage."
"éviter","to avoid","Évite les pièges du doute et concentre-toi sur tes forces."
"salaud","bastard (slang)","Ce salaud de doute ne te mènera nulle part !"
"conseil","advice","Un bon conseil peut changer le cours d’une vie."
"plaisanter","to joke","Plaisantez pour alléger l’atmosphère, même dans l’adversité."
"autour","around","Autour de toi, fais rayonner ta confiance inébranlable."
"vin","wine","Un bon vin se savoure lentement, tout comme le succès."
"exact","exact; precise","Sois exact dans tes actions et tu atteindras tes objectifs."
"virer","to fire; to turn","Virer tes peurs te libère pour avancer plus loin."
"supporter","to support; to endure","Supporte la pression, elle forge les plus grands champions."
"régler","to settle; to resolve","Règle tes priorités avant de courir dans tous les sens."
"doigt","finger; digit","Pointe ton doigt vers ton rêve et ne lâche rien."
"grâce","thanks to; grace","Grâce à ta persévérance, tu es déjà en route vers la victoire."
"étrange","strange; odd","C’est étrange comme un mot peut changer ta perception."
"souhaiter","to wish","Souhaite-toi le meilleur, puis travaille pour l’obtenir."
"bas","low; bottom","Au bas de la montagne commence la vraie ascension."
"mission","mission","Ta mission, si tu l’acceptes, est de vivre tes rêves."
"créer","to create","Crée ta réalité au lieu de la subir."
"chanson","song","Chaque chanson que tu écris est un morceau de ton âme."
"pote","buddy; pal","Mon pote, ensemble nous pouvons déplacer des montagnes."
"surveiller","to watch; to monitor","Surveille tes progrès, ils sont la preuve de ton engagement."
"simplement","simply","Parfois, il suffit simplement de croire pour réussir."
"recommencer","to restart","Recommence chaque jour avec la détermination du premier pas."
"robe","dress","Cette robe te va si bien qu’elle reflète ta confiance."
"chaud","hot; warm","Un café chaud réchauffe le corps et réveille l’esprit."
"billet","ticket; note","Ton billet pour le succès se trouve dans ton action d’aujourd’hui."
"spécial","special","Ce moment est spécial : fais-en le meilleur de ta vie."
"moyen","means; average","Utilise chaque moyen à ta disposition pour avancer."
"sympa","nice; friendly","Une attitude sympa ouvre plus de portes qu’on ne le croit."
"vaisseau","vessel; ship","Ton esprit est un vaisseau prêt à explorer l’inconnu."
"moi-même","myself","Apprends à te faire confiance, moi-même je crois en toi."
"coûter","to cost","Le prix du succès coûte des sacrifices, mais ils en valent la peine."
"surprise","surprise","La vie te réserve parfois des surprises extraordinaires."
"poste","post; job","Ton nouveau poste t’offre l’opportunité de briller."  
"compris","understood; agreed","J'ai compris que la seule limite était celle que je me fixais."
"anniversaire","birthday","Ton anniversaire est l'occasion de célébrer la personne incroyable que tu es."
"signe","sign; signal","Ce signe est le début d'une nouvelle ère pour toi."
"vol","flight; theft","Le vol de tes rêves commence dès que tu oses t'envoler."
"couleur","color","La couleur de tes rêves colore ta réalité."
"image","image; picture","Cette image restera gravée dans ton esprit pour toujours."
"parier","to bet","Parie sur toi-même, c'est le meilleur investissement que tu puisses faire."
"est","is","Il est temps de révéler ta vraie puissance."
"arbre","tree","Comme un arbre, enracine-toi et étends tes branches vers le ciel."
"bière","beer","Une bière entre amis scelle des souvenirs inoubliables."
"mme","madam; Mrs.","Mme Dupont a prouvé que l'âge n'est qu'un chiffre."
"poisson","fish","Le poisson le plus rapide ne craint pas les vagues."
"selon","according to","Selon ton cœur, chaque obstacle devient une opportunité."
"a","has; to have","Il a la force de changer sa vie aujourd'hui."
"intérêt","interest; stake","Ton intérêt pour le progrès te mènera loin."
"lieutenant","lieutenant","Le lieutenant de ton âme guide tes actions vers la victoire."
"danger","danger","Le plus grand danger est de ne jamais essayer."
"appartenir","to belong","Tu appartiens à la légende que tu construis."
"remarquer","to notice; to remark","Remarque chaque progrès, aussi petit soit-il."
"animal","animal","L'animal en toi cherche la liberté et l'instinct."
"rater","to miss; to fail","Rater est un passage obligé vers la réussite."
"retirer","to remove; to withdraw","Retire tes doutes et avance avec clarté."
"bord","edge; border","Au bord du précipice, trouve le courage de sauter."
"tenter","to try; to attempt","Tente ta chance, même si la peur te retient."
"liberté","freedom","La liberté commence là où tes peurs s'arrêtent."
"règle","rule; ruler","Écris tes propres règles et vis selon tes valeurs."
"banque","bank","La banque de la vie distribue des leçons à chaque instant."
"merveilleux","wonderful; marvelous","Un moment merveilleux peut surgir de la plus petite étincelle."
"fier","proud","Sois fier de chaque pas que tu fais vers ton rêve."
"partager","to share","Partager ton succès multiplie sa valeur."
"classe","class; lesson","Chaque défi est une classe magistrale de la vie."
"dossier","folder; file; case","Ce dossier contient la carte de ton avenir."
"ressentir","to feel","Ressens la puissance qui coule en toi."
"bonheur","happiness","Le bonheur est un choix quotidien, choisis-le."
"défendre","to defend","Défends tes convictions avec passion et intégrité."
"but","goal; purpose","Ton but est la boussole de ton existence."
"bande","band; strip","Ta bande de rêveurs change le monde ensemble."
"l","the (elided)","L'aventure commence quand tu ouvres ton esprit."
"fatiguer","to tire; to fatigue","Ne te laisse pas fatiguer par tes peurs, elles sont éphémères."
"radio","radio","La radio diffuse ta voix au-delà des frontières."
"prévoir","to foresee; to plan","Prévois ton succès comme on prépare une victoire."
"celui-là","that one","Celui-là, c'est ton rêve, saisis-le."
"haut","high; tall","Vise haut, même si les sommets te semblent inaccessibles."
"camarade","comrade; mate","Un camarade fidèle est un trésor inestimable."
"douter","to doubt","Doute, puis franchis la barrière de l'incertitude."
"oiseau","bird","Comme un oiseau, prends ton envol vers la liberté."
"vent","wind","Le vent de l'espoir souffle toujours, il suffit de tendre les voiles."
"recherche","research; search","Ta recherche de vérité te mènera vers l'excellence."
"apprécier","to appreciate","Apprécie chaque instant, c'est là que réside la magie."
"système","system","Le système de ta vie est la somme de tes actions."
"ferme","to close; firm","Ferme les yeux et imagine la vie que tu mérites."
"capable","capable","Tu es capable de transformer chaque rêve en réalité."
"fuir","to flee; to run away","Ne fuis pas tes peurs, affronte-les et deviens plus fort."
"ennui","boredom","Transforme ton ennui en opportunité de création."
"tante","aunt","Ma tante m'a appris que le courage se cultive chaque jour."
"héros","hero","Sois le héros de ta propre histoire."
"dedans","inside","Regarde dedans ton cœur pour trouver ta vérité."
"excellent","excellent","Ton travail est excellent, continue sur cette voie."
"pitié","pity","N'attends pas la pitié, conquiers le respect par tes actions."
"appartement","apartment","Chaque appartement peut devenir un foyer de bonheur."
"bosser","to work hard (slang)","Bosser dur aujourd'hui pour récolter tes succès demain."
"respirer","to breathe","Respire profondément et laisse la paix envahir ton esprit."
"entier","whole; entire","Donne-toi corps et âme, entièrement et sans réserve."
"récupérer","to recover; to retrieve","Récupère ta force intérieure et avance sans crainte."
"douleur","pain","La douleur d'hier forge la force d'aujourd'hui."
"libérer","to free; to liberate","Libère-toi des chaînes du passé pour vivre pleinement."
"sentiment","feeling; sentiment","Exprime chaque sentiment, ils sont le moteur de ta vérité."
"grand-père","grandfather","Mon grand-père m'a montré la valeur de la persévérance."
"société","society","Change la société en incarnant tes valeurs les plus nobles."
"lancer","to throw; to launch","Lance ton projet et observe-le prendre vie."
"nez","nose","Suis ton nez, il te guidera vers les meilleures opportunités."
"joie","joy","La joie est un choix, choisis-la chaque matin."
"relation","relationship","Une relation solide repose sur la confiance et le respect."
"témoin","witness","Sois le témoin de ta propre transformation."
"acteur","actor","Deviens l'acteur principal de ta vie, pas un simple spectateur."
"moitié","half","Trouve ta moitié et construis un avenir commun."
"incroyable","incredible","Ton potentiel est incroyable, libère-le sans hésiter."
"bain","bath","Prends un bain de positivité avant de commencer ta journée."
"durer","to last; to endure","Ce qui dure, c'est la passion que tu mets dans tes actions."
"marché","market; to walk","Le marché de tes idées s'ouvre à qui ose les partager."
"laver","to wash","Lave tes doutes comme on lave les peurs de l'âme."
"dent","tooth","Défends tes convictions jusqu'à la dernière dent."
"là-dedans","in there","Trouve ta force là-dedans, au plus profond de toi."
"mademoiselle","miss; young lady","Mademoiselle, votre détermination est votre plus belle robe."
"adresse","address; skill","Donne-toi l'adresse pour transformer chaque échec en leçon."
"cousin","cousin","Mon cousin m'a appris l'importance de l'entraide familiale."
"riche","rich","Sois riche de tes expériences, pas seulement de tes biens."
